source_store_name,decision,canonical_place_name,rejected_place_name,address_name,road_address_name,region_1depth_name,region_2depth_name,region_3depth_name,x,y,place_url,store_status,reason,verified_source,verified_at
롯데슈퍼G춘천점,verified_match,롯데슈퍼프레시 춘천점,,강원특별자치도 춘천시 퇴계동 381-1,강원특별자치도 춘천시 영서로 2195,강원특별자치도,춘천시,퇴계동,127.728577568364,37.8602948663326,http://place.map.kakao.com/21721237,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼G홍제점,corrected_match,롯데슈퍼프레시 홍제점2,,서울 서대문구 통일로 397,서울 서대문구 통일로 397,서울,서대문구,홍제동,126.947518964239,37.5852185401096,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
롯데슈퍼G화곡점,corrected_match,롯데슈퍼프레시 화곡점2,롯데슈퍼프레시 화곡2점,서울 강서구 등촌로5길 80,서울 강서구 등촌로5길 80,서울,강서구,화곡동,126.858951804044,37.5330706883775,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
롯데슈퍼부산연산점,verified_match,롯데슈퍼프레시 연산점,,부산 연제구 연산동 490-7,부산 연제구 과정로 115,부산,연제구,연산동,129.10689891008414,35.18190019966234,http://place.map.kakao.com/11077786,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼세종나성프레시점,verified_match,롯데슈퍼프레시 세종나성점,,세종특별자치시 나성동 398,세종특별자치시 국세청로 32,세종특별자치시,,나성동,127.26196662573,36.4864205789188,http://place.map.kakao.com/1296227383,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼수지점,corrected_match,롯데슈퍼프레시 수지점1,롯데슈퍼프레시 수지점2,경기 용인시 수지구 수지로 62,경기 용인시 수지구 수지로 62,경기,용인시,수지구,127.076189909618,37.3084405045318,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
롯데슈퍼프리미엄서초점,verified_match,롯데프리미엄푸드마켓 서초점,,서울 서초구 서초동 1685-8,서울 서초구 서초중앙로24길 27,서울,서초구,서초동,127.016401514684,37.4954098238729,http://place.map.kakao.com/711838756,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼프리미엄용호점,verified_match,롯데프리미엄푸드마켓 용호점,,부산 남구 용호동 954,부산 남구 분포로 145,부산,남구,용호동,129.11243980206424,35.1341750638523,http://place.map.kakao.com/82970420,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
롯데슈퍼프리미엄황금점,verified_match,롯데프리미엄푸드마켓 황금점,,대구 수성구 황금동 366,대구 수성구 청수로 235,대구,수성구,황금동,128.633674621921,35.8409899121746,http://place.map.kakao.com/13347400,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
신세계백화점본점,verified_match,신세계백화점 본점 더 리저브,,서울 중구 충무로1가 52-5,서울 중구 소공로 63,서울,중구,충무로1가,126.98108960513339,37.560948320099605,http://place.map.kakao.com/7969138,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
신세계백화점영등포점,verified_match,신세계백화점 타임스퀘어점,,서울 영등포구 영등포동4가 434-5,서울 영등포구 영중로 9,서울,영등포구,영등포동4가,126.90556661901638,37.51719015109776,http://place.map.kakao.com/16908419,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
신세계백화점죽전점,verified_match,신세계 사우스시티,,경기 용인시 수지구 죽전동 1285,경기 용인시 수지구 포은대로 536,경기,용인시,수지구,127.10825624869119,37.32502994669613,http://place.map.kakao.com/26071818,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
이마트가든5점,verified_match,이마트 가든파이브점,,서울 송파구 문정동 628,서울 송파구 충민로 10,서울,송파구,문정동,127.11836060535106,37.47915335636237,http://place.map.kakao.com/21393358,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
이마트월계점,verified_match,스타필드마켓 월계점,,서울 노원구 월계동 333-1,서울 노원구 마들로3길 15,서울,노원구,월계동,127.06181746208499,37.62652764550659,http://place.map.kakao.com/1706913480,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
현대백화점대구점,verified_match,더현대 대구,,대구 중구 계산동2가 200,대구 중구 달구벌대로 2077,대구,중구,계산동2가,128.59063111852757,35.86662835745753,http://place.map.kakao.com/26588534,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
현대백화점부산점,verified_match,커넥트현대 부산,,부산 동구 범일동 62-5,부산 동구 범일로 125,부산,동구,범일동,129.05857440867092,35.14130151736924,http://place.map.kakao.com/21748301,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
현대백화점울산동구점,verified_match,현대백화점 울산점 동구,,울산 동구 서부동 105-3,울산 동구 방어진순환도로 899,울산,동구,서부동,129.431351439387,35.5216190395648,http://place.map.kakao.com/11200567,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
현대백화점중동점,verified_match,현대백화점 중동점 EAST,,경기 부천시 원미구 중동 1164,경기 부천시 원미구 길주로 180,경기,부천시,원미구,126.76183908456196,37.50427464649725,http://place.map.kakao.com/14661403,open,confirmed_same_store_name_change_or_rebrand,kakao_keyword_api,2026-09-02
GS더프레시아산탕정점,corrected_match,GS더프레시 아산탕정점,GS더프레시 아산아이유쉘점,충남 아산시 탕정면 탕정면로22번길 7,충남 아산시 탕정면 탕정면로22번길 7,충남,아산시,탕정면,127.060017258803,36.7982223543747,,open,corrected_wrong_api_candidate,user_verified,2026-09-02
롯데슈퍼G복대2점,corrected_match,롯데슈퍼프레시 G복대2점,롯데슈퍼 복대점,충북 청주시 흥덕구 죽천로 67,충북 청주시 흥덕구 죽천로 67,충북,청주시,흥덕구,127.43037586066,36.6386208647562,,open,corrected_wrong_api_candidate,user_verified,2026-09-02
롯데슈퍼성주점,corrected_match,롯데슈퍼 성주점,롯데슈퍼 대구대실점,경북 성주군 성주읍3길 41,경북 성주군 성주읍3길 41,경북,성주군,성주읍,128.288707763332,35.9215642285262,,open,corrected_wrong_api_candidate,user_verified,2026-09-02
롯데슈퍼역촌점,corrected_match,롯데슈퍼 역촌점,롯데슈퍼 범서점,서울 은평구 진흥로 103,서울 은평구 진흥로 103,서울,은평구,역촌동,126.922406417484,37.6060733736923,,open,corrected_wrong_api_candidate,user_verified,2026-09-02
이마트경산점,corrected_match,이마트 경산점,이마트에브리데이 경산무학점,경북 경산시 옥산로 227,경북 경산시 옥산로 227,경북,경산시,중산동,128.720087326388,35.8349111322679,,open,corrected_wrong_api_candidate,user_verified,2026-09-02
이마트동탄점,corrected_match,스타필드마켓 동탄점,트레이더스 홀세일클럽 동탄점,경기 화성시 동탄구 동탄중앙로 376,경기 화성시 동탄구 동탄중앙로 376,경기,화성시,동탄구,127.079637319713,37.214066662686,,open,corrected_wrong_api_candidate,user_verified,2026-09-02
이마트에코시티점,corrected_match,이마트 에코시티점,이마트24 진영에코시티점,전북특별자치도 전주시 덕진구 세병서로 9,전북특별자치도 전주시 덕진구 세병서로 9,전북특별자치도,전주시,덕진구,127.123764082885,35.8725963163886,,closed,corrected_wrong_api_candidate,user_verified,2026-09-02
GS더프레시마산점,corrected_match,GS더프레시 마산점,GS더프레시 마산월영점,경남 창원시 마산합포구 월영동서로 20,경남 창원시 마산합포구 월영동서로 20,경남,창원시 마산합포구,해운동,128.560384446688,35.1798844844854,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
GS더프레시김포감정점,verified_match,지에스더프레시김포감정점,,경기 김포시 감정동 676,경기 김포시 봉화로181번길 31-20,경기,김포시,감정동,126.700920856446,37.6262401283222,,open,existing_manual_override,existing_manual_override,2026-09-02
롯데슈퍼상록수점,verified_match,롯데슈퍼 프레시 상록수점,,경기 안산시 상록구 상록수로 34,경기 안산시 상록구 상록수로 34,경기,안산시,상록구,126.863767865958,37.3021010869624,,open,existing_manual_override,existing_manual_override,2026-09-02
롯데슈퍼용인남사점,verified_match,롯데슈퍼 용인남사점,,경기 용인시 처인구 남사읍 한숲로33번길 8,경기 용인시 처인구 남사읍 한숲로33번길 8,경기,용인시,처인구,127.169735472462,37.1520343992004,,open,existing_manual_override,existing_manual_override,2026-09-02
롯데슈퍼인천청라2점,verified_match,롯데슈퍼 인천청라2점,,"인천 서구 보석로 44, 태영빌딩 1층","인천 서구 보석로 44, 태영빌딩 1층",인천,서구,청라동,126.624108421818,37.5235280821893,,open,existing_manual_override,existing_manual_override,2026-09-02
롯데슈퍼프리미엄공덕점,verified_match,롯데프리미엄푸드마켓 공덕점,,"서울 마포구 마포대로 109, 롯데캐슬프레지던트 B1","서울 마포구 마포대로 109, 롯데캐슬프레지던트 B1",서울,마포구,공덕동,126.950847479316,37.5450686146253,,open,existing_manual_override,existing_manual_override,2026-09-02
현대백화점디큐브점,corrected_match,현대백화점 디큐브시티점,,서울 구로구 신도림동 692,서울 구로구 경인로 662,서울,구로구,신도림동,126.888212953215,37.5081230677129,,historical,confirmed_historical_store_location_official_hyundai_address_kakao_address_coordinates,hyundai_official_location_kakao_address_api,2026-09-02
롯데슈퍼용인점,corrected_match,롯데슈퍼 용인점,롯데슈퍼프레시 프리미엄용인점,경기 용인시 처인구 백옥대로 1066,경기 용인시 처인구 백옥대로 1066,경기,용인시,처인구,127.210489148464,37.2306001990462,,open,corrected_user_provided_store_address,user_verified_kakao_address_api,2026-09-02
